Project_ID,Country,US State,Region,Agency,Project,Project_Type,Mode,Groundbreaking_month,Groundbreaking_Year,Month_Opened,Year_Opened,GB,Opening,Time to Construct (months),Time to Construct (years),Length (km),Length (mi),Percent_Tunneled,Tunnel_Length,Percent_Elevated,Elevated_Length,Percent_At_Grade,At_Grade_Length,Stations,Average Station Spacing (mi),Midpoint,Lookup Year,PPP_Lookup,Inflation_Lookup,PPP_Conversion,Inflation_Conversion,Currency,Unadjusted_Reported_Cost,PPP Adjusted Cost,Inflation Adjusted Cost,Final Cost (excl. vehicles and support facilities where possible - see cost note) ,Cost_per_KM,Cost_per_Mile,Guideway,Stations Share,Support Facilities,Sitework,Systems,ROW and Land Acquisition,Vehicles,Professional Services,Contigency/Finance Charge/Other,Cost_Reference,Cost_Note,,,,
1001,AT,,Vienna,Wiener Linien,Line 1 extension,Extension,Heavy Rail,July,2012,September,2017,July 2012,September 2017,62,5,4.7,2.91,57%,1.66,0%,0.0,43%,1.25,5,0.58,2015,2015,AT2015,US2015,1.25186,1.24,EUR,600,751,934,934,199,321,,,,,,,,,,https://www.wien.gv.at/stadtentwicklung/projekte/verkehrsplanung/u-bahn/u1-oberlaa.html,Municipal website,,,,
1002,AT,,Vienna,Wiener Linien,Line 2 extension,Extension,Heavy Rail,,2010,October,2013, 2010,October 2013,,3,4.2,2.60,0%,0.00,100%,2.6,0%,0.00,3,0.87,2012,2012,AT2012,US2012,1.22903,1.34,EUR,320,393,527,527,126,203,,,,,,,,,,https://wien.orf.at/v2/news/stories/2607445/,Reporting - 2013,,,,
1003,AU,,Adelaide,Adelaide Metro,Extension to East End,Extension,Light rail,July,2017,October,2018,July 2017,October 2018,15,1.25,1.3,0.78,0%,0.00,0%,0.0,100%,0.78,4,0.19,2018,2018,AU2018,US2018,0.68009,1.13,AUD,80,54,61,61,49,79,,,,,,,,,,date: https://www.abc.net.au/news/2018-10-13/north-terrace-tram-extension-finally-opens-to-passengers/10371858,,,,,
1004,AU,,Adelaide,,Glenelg Tram,Extension,Light Rail,April,2007,October,2007,April 2007,October 2007,6,0.50,1.6,0.99,0%,0.00,0%,0.0,100%,1.60,1,0.90,2007,2007,AU2007,US2007,0.70084,1.57,AUD,31,22,34,34,21,34,,,,,,,,,,https://www.lightrailnow.org/features/f_ade_2007-11a.htm,https://trams.fandom.com/wiki/Glenelg_Tram,,,,
1005,AU,,Adelaide,,Glenelg Tram,Extension,Light Rail,May,2009,March,2010,May 2009,March 2010,10,0.83,2.8,1.74,0%,0.00,0%,0.0,100%,2.80,3,0.58,2010,2010,AU2010,US2010,0.66520,1.42,AUD,100,67,94,94,34,54,,,,,,,,,,https://www.railway-technology.com/projects/coasttocoastlightrai/,,,,,
1006,AU,,Canberra,CMET,Canberra Metro Light Rail,New Line,Light Rail,May,2016,April ,2019,May 2016,April  2019,35,3,12.0,7.44,0%,0.00,0%,0.0,100%,7.44,13,0.62,2018,2018,AU2018,US2018,0.68009,1.13,AUD,675,459,518,518,43,70,,,,,,,,,,https://www.canberratimes.com.au/story/6118177/light-rails-675m-final-bill/,,,,,
1007,AU,,Gold Coast,TransLink,G:Link Stage 1,New Line,Light rail,August,2010,July,2014,August 2010,July 2014,47,4,13.0,8.06,0%,0.00,8%,0.6,92%,7.44,16,0.54,2012,2012,AU2012,US2012,0.64930,1.34,AUD,1200,779,1045,1045,80,130,,,,,,,,,,https://www.railway-technology.com/projects/goldcoastrapidtransp/,,,,,
1008,AU,,Gold Coast,TransLink,G:Link Stage 2,Extension,Light rail,July,2016,December,2017,July 2016,December 2017,17,1.42,7.3,4.53,0%,0.00,0%,0.0,100%,4.53,3,1.51,2017,2017,AU2017,US2017,0.67679,1.16,AUD,420,284,330,330,45,73,,,,,,,,,,"https://www.railway-technology.com/projects/goldcoastrapidtransp/, dates: https://web.archive.org/web/20180319074036/https://www.tmr.qld.gov.au/Projects/Name/G/Gold-Coast-Light-Rail-Stage-2.aspx",,,,,
1009,AU,,Newcastle,Transport for NSW,Newcastle Light Rail,New line,Light rail,September,2017,February,2019,September 2017,February 2019,17,1,2.7,1.67,0%,0.00,0%,0%,100%,1.67,6,0.33,2018,2018,AU2018,US2018,0.68009,1.13,AUD,368,250,282,282,105,169,,,,,,,,,,https://www.pwc.com.au/pdf/value-money-rail-project-extensions-nov17.pdf,,,,,
1010,AU,,Sydney,Transport for NSW,Sydney Light Rail L2 and L3 Extension,Extension,Light rail,October,2015,April,2020,October 2015,April 2020,54,4.50,12.0,7.44,0%,0.00,0%,0.0,100%,7.44,14,0.53,2018,2018,AU2018,US2018,0.68009,1.13,AUD,3147,2140,2415,2415,201,325,,,,,,,,,,https://www.abc.net.au/news/2020-06-11/sydney-light-rail-cost-over-three-billion-auditor-report-finds/12343834,,,,,
1011,AU,,Sydney,Transport for NSW,Sydney Metro Northwest,New Line,Heavy Rail,June,2014,May,2019,June 2014,May 2019,59,5,36.0,22.32,42%,9.32,11%,2.5,47%,10.52,13,1.86,2017,2017,AU2017,US2017,0.67679,1.16,AUD,7300,4941,5744,5744,160,257,,,,,,,,,,,,,,,
1010,CA,,Calgary,Calgary Transit,Blue Line West Extension,Extension,Light Rail,February,2008,December,2012,February 2008,December 2012,58,5,8.2,5.08,29%,1.49,18%,0.9,52%,2.67,6,0.85,2010,2010,CA2010,US2010,0.81845,1.42,CAD,1500,1228,1741,1741,212,342,,,,,,,,,,https://archive.ph/20121208162551/http://www.calgaryherald.com/news/calgary/West+line+will+open+schedule+city+says/7513159/story.html,Reporting - 2012,,,,
1011,CA,,Calgary,Calgary Transit,Northeast LRT Extension to Saddle Ridge,Extension,Light Rail,September,2009,August,2012,September 2009,August 2012,35,3,2.9,1.80,5%,0.09,0%,0.0,95%,1.71,2,0.90,2011,2011,CA2011,US2011,0.80651,1.38,CAD,124,100,138,138,47,77,,,,,,,,,,https://www.cbc.ca/news/canada/calgary/city-province-extend-lrt-in-calgary-ne-1.783091,reporting - 2009,,,,
1012,CA,,Calgary,Calgary Transit,Northwest LRT Extension to Rocky Ridge/Tuscany,Extension,Light Rail,April,2010,August,2014,April 2010,August 2014,52,4,2.3,1.43,0%,0.00,0%,0.0,100%,1.40,1,1.40,2012,2012,CA2012,US2012,0.80347,1.34,CAD,114,92,123,123,53,86,,,,,,,,,,https://web.archive.org/web/20120824224447/http://www.calgary.ca/Transportation/TI/Pages/Transit-projects/Northwest-LRT-Extension-to-Rocky-Ridge---Tuscany.aspx,Archived government budget - 2012,,,,
